Mat,ID,V_DFT,V_TB,V_EXP,Gamma_DFT,Gamma_TB,Gamma_exp
Al,816,0.77,1.05,0.66,0.77,0.66,
Ag,14606,0.99,1.27,1.06,0.76,1.06,1.32
Au,825,0.62,1.19,1.02,0.71,1.16,1.54
Cu,867,1.27,1.63,1.05,1.34,1.59,1.77
Ni,943,1.65,1.61,1.4,1.92,2.33,2.01
Pt,972,0.96,1.77,1.6,1.49,1.8,2.49
Pd,963,1.45,1.72,1.85,1.36,0.94,2
Rh,984,1.99,2.1,1.9,1.98,2.42,2.6
Cr,861,2.98,1.98,2,,,
Mo,21195,2.9,2.67,3.6,2.96,3.7,2.9
V,14837,2.36,2.79,2.07,2.7,3.37,
W,79561,3.54,3.2,4,,,
Co,858,2.18,1.82,1.34,,,
Os,14744,3.33,3.29,1.8,,,
Ti,1029,2.15,1.58,1.55,,,
Tl,25337,0.52,0.64,0.46,,,
Zn,1056,0.5,1.07,0.54,,,
K,25114,0.39,0.28,0.34,,,
Na,931,0.35,0.42,0.26,,,
Si,1002,3.6,3.4,3.6,1.3,1.55,
Fe,25142,2.47,2.45,1.53,,,
Mg,919,0.81,0.84,0.79,0.76,0.65,
Ta,1014,3.03,3.48,3,2.7,2.45,2.78
Rb,25388,0.31,0.34,0.53,,,
Ca,25180,1.22,1.22,,0.46,0.48,
Ir,901,1.87,1.94,,,,
Nb,934,2.99,3.22,,2.34,2.91,
Tc,1020,2.84,3.34,,,,
Hf,802,2.32,2.29,,,,
Re,981,3.68,3.75,,,,
Ru,987,3,2.9,,,,
Sc,996,1.95,2.44,,,,
Ge,890,2.62,2.62,,,,
Zr,14612,1.86,2.4,,,,
Y,1050,1.95,2,,1.11,1.06,
Cd,14832,,,,0.56,1.07,
Ga,14622,,,,0.51,0.71,
